n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.1,8,4,514.0
20|20|0.1,8,5,514.0
20|20|0.1,8,6,514.0
20|20|0.1,8,7,514.0
20|20|0.1,8,8,500.0
20|20|0.1,8,9,500.0
20|20|0.1,8,10,500.0
20|20|0.1,8,11,456.0
20|20|0.1,8,12,456.0
20|20|0.1,8,13,456.0
20|20|0.1,8,14,447.0
20|20|0.1,8,15,447.0
20|20|0.1,8,16,447.0
20|20|0.1,8,17,447.0
20|20|0.1,8,18,447.0
20|20|0.1,8,19,429.0
20|20|0.1,9,0,508.0
20|20|0.1,9,1,508.0
20|20|0.1,9,2,486.0
20|20|0.1,9,3,486.0
20|20|0.1,9,4,486.0
20|20|0.1,9,5,486.0
20|20|0.1,9,6,481.0
20|20|0.1,9,7,481.0
20|20|0.1,9,8,481.0
20|20|0.1,9,9,464.0
20|20|0.1,9,10,464.0
20|20|0.1,9,11,464.0
20|20|0.1,9,12,464.0
20|20|0.1,9,13,464.0
20|20|0.1,9,14,464.0
20|20|0.1,9,15,464.0
20|20|0.1,9,16,464.0
20|20|0.1,9,17,464.0
20|20|0.1,9,18,430.0
20|20|0.1,9,19,416.0
50|20|0.01,0,0,573.0
50|20|0.01,0,1,573.0
50|20|0.01,0,2,553.0
50|20|0.01,0,3,470.0
50|20|0.01,0,4,470.0
50|20|0.01,0,5,470.0
50|20|0.01,0,6,470.0
50|20|0.01,0,7,470.0
50|20|0.01,0,8,470.0
50|20|0.01,0,9,454.0
50|20|0.01,0,10,454.0
50|20|0.01,0,11,443.0
50|20|0.01,0,12,439.0
50|20|0.01,0,13,439.0
50|20|0.01,0,14,439.0
50|20|0.01,0,15,418.0
50|20|0.01,0,16,418.0
50|20|0.01,0,17,418.0
50|20|0.01,0,18,418.0
50|20|0.01,0,19,418.0
50|20|0.01,0,20,418.0
50|20|0.01,0,21,418.0
50|20|0.01,0,22,418.0
50|20|0.01,0,23,418.0
50|20|0.01,0,24,418.0
50|20|0.01,0,25,418.0
50|20|0.01,0,26,418.0
50|20|0.01,0,27,418.0
50|20|0.01,0,28,418.0
50|20|0.01,0,29,418.0
50|20|0.01,0,30,418.0
50|20|0.01,0,31,418.0
50|20|0.01,0,32,418.0
50|20|0.01,0,33,418.0
50|20|0.01,0,34,418.0
50|20|0.01,0,35,418.0
50|20|0.01,0,36,418.0
50|20|0.01,0,37,418.0
50|20|0.01,0,38,418.0
50|20|0.01,0,39,418.0
50|20|0.01,0,40,418.0
50|20|0.01,0,41,418.0
50|20|0.01,0,42,418.0
50|20|0.01,0,43,418.0
50|20|0.01,0,44,418.0
50|20|0.01,0,45,418.0
50|20|0.01,0,46,418.0
50|20|0.01,0,47,418.0
50|20|0.01,0,48,418.0
50|20|0.01,0,49,418.0
50|20|0.01,1,0,574.0
50|20|0.01,1,1,559.0
50|20|0.01,1,2,558.0
50|20|0.01,1,3,529.0
50|20|0.01,1,4,518.0
50|20|0.01,1,5,518.0
50|20|0.01,1,6,492.0
50|20|0.01,1,7,427.0
50|20|0.01,1,8,401.0
50|20|0.01,1,9,401.0
50|20|0.01,1,10,401.0
50|20|0.01,1,11,401.0
50|20|0.01,1,12,401.0
50|20|0.01,1,13,401.0
50|20|0.01,1,14,401.0
50|20|0.01,1,15,401.0
50|20|0.01,1,16,401.0
50|20|0.01,1,17,401.0
50|20|0.01,1,18,401.0
50|20|0.01,1,19,401.0
50|20|0.01,1,20,401.0
50|20|0.01,1,21,401.0
50|20|0.01,1,22,401.0
50|20|0.01,1,23,381.0
50|20|0.01,1,24,369.0
50|20|0.01,1,25,369.0
50|20|0.01,1,26,369.0
50|20|0.01,1,27,369.0
50|20|0.01,1,28,369.0
50|20|0.01,1,29,369.0
50|20|0.01,1,30,369.0
50|20|0.01,1,31,369.0
50|20|0.01,1,32,369.0
50|20|0.01,1,33,369.0
50|20|0.01,1,34,369.0
50|20|0.01,1,35,369.0
50|20|0.01,1,36,369.0
50|20|0.01,1,37,369.0
50|20|0.01,1,38,369.0
50|20|0.01,1,39,369.0
50|20|0.01,1,40,369.0
50|20|0.01,1,41,369.0
50|20|0.01,1,42,369.0
50|20|0.01,1,43,369.0
50|20|0.01,1,44,369.0
50|20|0.01,1,45,369.0
50|20|0.01,1,46,369.0
50|20|0.01,1,47,369.0
50|20|0.01,1,48,369.0
50|20|0.01,1,49,369.0
50|20|0.01,2,0,594.0
50|20|0.01,2,1,573.0
50|20|0.01,2,2,573.0
50|20|0.01,2,3,567.0
50|20|0.01,2,4,553.0
50|20|0.01,2,5,512.0
50|20|0.01,2,6,512.0
50|20|0.01,2,7,509.0
50|20|0.01,2,8,509.0
50|20|0.01,2,9,509.0
50|20|0.01,2,10,500.0
50|20|0.01,2,11,491.0
50|20|0.01,2,12,472.0
50|20|0.01,2,13,472.0
50|20|0.01,2,14,437.0
50|20|0.01,2,15,437.0
50|20|0.01,2,16,437.0
50|20|0.01,2,17,437.0
50|20|0.01,2,18,437.0
50|20|0.01,2,19,437.0
50|20|0.01,2,20,437.0
50|20|0.01,2,21,437.0
50|20|0.01,2,22,437.0
50|20|0.01,2,23,437.0
50|20|0.01,2,24,437.0
50|20|0.01,2,25,437.0
50|20|0.01,2,26,437.0
50|20|0.01,2,27,437.0
50|20|0.01,2,28,437.0
50|20|0.01,2,29,437.0
50|20|0.01,2,30,437.0
50|20|0.01,2,31,437.0
50|20|0.01,2,32,437.0
50|20|0.01,2,33,437.0
50|20|0.01,2,34,437.0
50|20|0.01,2,35,437.0
50|20|0.01,2,36,437.0
50|20|0.01,2,37,437.0
50|20|0.01,2,38,437.0
50|20|0.01,2,39,437.0
50|20|0.01,2,40,437.0
50|20|0.01,2,41,437.0
50|20|0.01,2,42,437.0
50|20|0.01,2,43,437.0
50|20|0.01,2,44,437.0
50|20|0.01,2,45,437.0
50|20|0.01,2,46,437.0
50|20|0.01,2,47,437.0
50|20|0.01,2,48,437.0
50|20|0.01,2,49,437.0
50|20|0.01,3,0,592.0
50|20|0.01,3,1,537.0
50|20|0.01,3,2,537.0
50|20|0.01,3,3,527.0
50|20|0.01,3,4,511.0
50|20|0.01,3,5,466.0
50|20|0.01,3,6,458.0
50|20|0.01,3,7,458.0
50|20|0.01,3,8,458.0
50|20|0.01,3,9,432.0
50|20|0.01,3,10,432.0
50|20|0.01,3,11,427.0
50|20|0.01,3,12,427.0
50|20|0.01,3,13,427.0
50|20|0.01,3,14,383.0
50|20|0.01,3,15,383.0
50|20|0.01,3,16,383.0
50|20|0.01,3,17,383.0
50|20|0.01,3,18,383.0
50|20|0.01,3,19,383.0
50|20|0.01,3,20,383.0
50|20|0.01,3,21,383.0
50|20|0.01,3,22,383.0
50|20|0.01,3,23,383.0
50|20|0.01,3,24,383.0
50|20|0.01,3,25,383.0
50|20|0.01,3,26,383.0
50|20|0.01,3,27,383.0
50|20|0.01,3,28,364.0
50|20|0.01,3,29,364.0
50|20|0.01,3,30,364.0
50|20|0.01,3,31,364.0
50|20|0.01,3,32,364.0
50|20|0.01,3,33,364.0
50|20|0.01,3,34,364.0
50|20|0.01,3,35,364.0
50|20|0.01,3,36,364.0
50|20|0.01,3,37,364.0
50|20|0.01,3,38,364.0
50|20|0.01,3,39,364.0
50|20|0.01,3,40,364.0
50|20|0.01,3,41,364.0
50|20|0.01,3,42,364.0
