n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.03,9,19,27694.0
20|20|0.04,0,0,26160.0
20|20|0.04,0,1,26160.0
20|20|0.04,0,2,26160.0
20|20|0.04,0,3,26160.0
20|20|0.04,0,4,26160.0
20|20|0.04,0,5,26160.0
20|20|0.04,0,6,26160.0
20|20|0.04,0,7,26160.0
20|20|0.04,0,8,26160.0
20|20|0.04,0,9,26160.0
20|20|0.04,0,10,26160.0
20|20|0.04,0,11,26160.0
20|20|0.04,0,12,26160.0
20|20|0.04,0,13,26160.0
20|20|0.04,0,14,26160.0
20|20|0.04,0,15,26160.0
20|20|0.04,0,16,26160.0
20|20|0.04,0,17,26160.0
20|20|0.04,0,18,26160.0
20|20|0.04,0,19,26160.0
20|20|0.04,1,0,26451.0
20|20|0.04,1,1,26451.0
20|20|0.04,1,2,26451.0
20|20|0.04,1,3,26451.0
20|20|0.04,1,4,26451.0
20|20|0.04,1,5,26451.0
20|20|0.04,1,6,26451.0
20|20|0.04,1,7,26451.0
20|20|0.04,1,8,26451.0
20|20|0.04,1,9,26451.0
20|20|0.04,1,10,26451.0
20|20|0.04,1,11,26451.0
20|20|0.04,1,12,26451.0
20|20|0.04,1,13,26451.0
20|20|0.04,1,14,26451.0
20|20|0.04,1,15,26451.0
20|20|0.04,1,16,26451.0
20|20|0.04,1,17,26451.0
20|20|0.04,1,18,26451.0
20|20|0.04,1,19,26451.0
20|20|0.04,2,0,25799.0
20|20|0.04,2,1,25799.0
20|20|0.04,2,2,25799.0
20|20|0.04,2,3,25799.0
20|20|0.04,2,4,25799.0
20|20|0.04,2,5,25799.0
20|20|0.04,2,6,25799.0
20|20|0.04,2,7,25799.0
20|20|0.04,2,8,25799.0
20|20|0.04,2,9,25799.0
20|20|0.04,2,10,25799.0
20|20|0.04,2,11,25799.0
20|20|0.04,2,12,25799.0
20|20|0.04,2,13,25799.0
20|20|0.04,2,14,25799.0
20|20|0.04,2,15,25799.0
20|20|0.04,2,16,25799.0
20|20|0.04,2,17,25799.0
20|20|0.04,2,18,25799.0
20|20|0.04,2,19,25799.0
20|20|0.04,3,0,27591.0
20|20|0.04,3,1,27591.0
20|20|0.04,3,2,27591.0
20|20|0.04,3,3,27591.0
20|20|0.04,3,4,27591.0
20|20|0.04,3,5,27591.0
20|20|0.04,3,6,27591.0
20|20|0.04,3,7,27591.0
20|20|0.04,3,8,27591.0
20|20|0.04,3,9,27591.0
20|20|0.04,3,10,27591.0
20|20|0.04,3,11,27591.0
20|20|0.04,3,12,27591.0
20|20|0.04,3,13,27591.0
20|20|0.04,3,14,27591.0
20|20|0.04,3,15,27591.0
20|20|0.04,3,16,27591.0
20|20|0.04,3,17,27591.0
20|20|0.04,3,18,27591.0
20|20|0.04,3,19,27591.0
20|20|0.04,4,0,28728.0
20|20|0.04,4,1,28728.0
20|20|0.04,4,2,28728.0
20|20|0.04,4,3,28728.0
20|20|0.04,4,4,28728.0
20|20|0.04,4,5,28728.0
20|20|0.04,4,6,28728.0
20|20|0.04,4,7,28728.0
20|20|0.04,4,8,28728.0
20|20|0.04,4,9,28728.0
20|20|0.04,4,10,28728.0
20|20|0.04,4,11,28728.0
20|20|0.04,4,12,28728.0
20|20|0.04,4,13,28728.0
20|20|0.04,4,14,28728.0
20|20|0.04,4,15,28728.0
20|20|0.04,4,16,28728.0
20|20|0.04,4,17,28728.0
20|20|0.04,4,18,28286.0
20|20|0.04,4,19,28286.0
20|20|0.04,5,0,28728.0
20|20|0.04,5,1,28728.0
20|20|0.04,5,2,28728.0
20|20|0.04,5,3,28728.0
20|20|0.04,5,4,28728.0
20|20|0.04,5,5,28728.0
20|20|0.04,5,6,28728.0
20|20|0.04,5,7,28728.0
20|20|0.04,5,8,28728.0
20|20|0.04,5,9,28728.0
20|20|0.04,5,10,28728.0
20|20|0.04,5,11,28728.0
20|20|0.04,5,12,28728.0
20|20|0.04,5,13,28728.0
20|20|0.04,5,14,28728.0
20|20|0.04,5,15,28728.0
20|20|0.04,5,16,28728.0
20|20|0.04,5,17,28728.0
20|20|0.04,5,18,28728.0
20|20|0.04,5,19,28728.0
20|20|0.04,6,0,25036.0
20|20|0.04,6,1,25036.0
20|20|0.04,6,2,25036.0
20|20|0.04,6,3,25036.0
20|20|0.04,6,4,25036.0
20|20|0.04,6,5,25036.0
20|20|0.04,6,6,25036.0
20|20|0.04,6,7,25036.0
20|20|0.04,6,8,25036.0
20|20|0.04,6,9,25036.0
20|20|0.04,6,10,25036.0
20|20|0.04,6,11,25036.0
20|20|0.04,6,12,25036.0
20|20|0.04,6,13,25036.0
20|20|0.04,6,14,25036.0
20|20|0.04,6,15,25036.0
20|20|0.04,6,16,25036.0
20|20|0.04,6,17,25036.0
20|20|0.04,6,18,25036.0
20|20|0.04,6,19,25036.0
20|20|0.04,7,0,26358.0
20|20|0.04,7,1,26358.0
20|20|0.04,7,2,26358.0
20|20|0.04,7,3,26358.0
20|20|0.04,7,4,26358.0
20|20|0.04,7,5,26358.0
20|20|0.04,7,6,26358.0
20|20|0.04,7,7,26358.0
20|20|0.04,7,8,26358.0
20|20|0.04,7,9,26358.0
20|20|0.04,7,10,26358.0
20|20|0.04,7,11,26358.0
20|20|0.04,7,12,26358.0
20|20|0.04,7,13,26358.0
20|20|0.04,7,14,26358.0
20|20|0.04,7,15,26358.0
20|20|0.04,7,16,26358.0
20|20|0.04,7,17,26358.0
20|20|0.04,7,18,26358.0
20|20|0.04,7,19,26358.0
20|20|0.04,8,0,25228.0
20|20|0.04,8,1,25228.0
20|20|0.04,8,2,25228.0
20|20|0.04,8,3,25228.0
20|20|0.04,8,4,25228.0
20|20|0.04,8,5,25228.0
20|20|0.04,8,6,25228.0
20|20|0.04,8,7,25228.0
20|20|0.04,8,8,25228.0
20|20|0.04,8,9,25228.0
20|20|0.04,8,10,25228.0
20|20|0.04,8,11,25228.0
20|20|0.04,8,12,25228.0
20|20|0.04,8,13,25228.0
20|20|0.04,8,14,25228.0
20|20|0.04,8,15,25228.0
20|20|0.04,8,16,25228.0
20|20|0.04,8,17,25228.0
20|20|0.04,8,18,25228.0
20|20|0.04,8,19,25228.0
20|20|0.04,9,0,29405.0
20|20|0.04,9,1,29405.0
20|20|0.04,9,2,29405.0
20|20|0.04,9,3,29405.0
20|20|0.04,9,4,29405.0
20|20|0.04,9,5,29405.0
20|20|0.04,9,6,29405.0
20|20|0.04,9,7,29405.0
20|20|0.04,9,8,29405.0
20|20|0.04,9,9,29405.0
20|20|0.04,9,10,29405.0
20|20|0.04,9,11,28919.0
20|20|0.04,9,12,28919.0
20|20|0.04,9,13,28919.0
20|20|0.04,9,14,28512.0
20|20|0.04,9,15,28512.0
20|20|0.04,9,16,28512.0
20|20|0.04,9,17,28512.0
20|20|0.04,9,18,28253.0
20|20|0.04,9,19,28253.0
20|20|0.05,0,0,28728.0
20|20|0.05,0,1,28728.0
20|20|0.05,0,2,28728.0
20|20|0.05,0,3,28728.0
