n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.04,6,12,431
20|20|0.04,6,13,358
20|20|0.04,6,14,358
20|20|0.04,6,15,355
20|20|0.04,6,16,355
20|20|0.04,6,17,336
20|20|0.04,6,18,336
20|20|0.04,6,19,336
20|20|0.04,7,0,578
20|20|0.04,7,1,532
20|20|0.04,7,2,493
20|20|0.04,7,3,463
20|20|0.04,7,4,462
20|20|0.04,7,5,459
20|20|0.04,7,6,452
20|20|0.04,7,7,452
20|20|0.04,7,8,435
20|20|0.04,7,9,435
20|20|0.04,7,10,434
20|20|0.04,7,11,434
20|20|0.04,7,12,434
20|20|0.04,7,13,434
20|20|0.04,7,14,434
20|20|0.04,7,15,427
20|20|0.04,7,16,427
20|20|0.04,7,17,418
20|20|0.04,7,18,417
20|20|0.04,7,19,417
20|20|0.04,8,0,540
20|20|0.04,8,1,467
20|20|0.04,8,2,467
20|20|0.04,8,3,441
20|20|0.04,8,4,441
20|20|0.04,8,5,441
20|20|0.04,8,6,441
20|20|0.04,8,7,440
20|20|0.04,8,8,440
20|20|0.04,8,9,440
20|20|0.04,8,10,440
20|20|0.04,8,11,409
20|20|0.04,8,12,409
20|20|0.04,8,13,409
20|20|0.04,8,14,409
20|20|0.04,8,15,409
20|20|0.04,8,16,409
20|20|0.04,8,17,409
20|20|0.04,8,18,409
20|20|0.04,8,19,391
20|20|0.04,9,0,581
20|20|0.04,9,1,569
20|20|0.04,9,2,569
20|20|0.04,9,3,528
20|20|0.04,9,4,528
20|20|0.04,9,5,528
20|20|0.04,9,6,483
20|20|0.04,9,7,483
20|20|0.04,9,8,483
20|20|0.04,9,9,472
20|20|0.04,9,10,446
20|20|0.04,9,11,446
20|20|0.04,9,12,446
20|20|0.04,9,13,434
20|20|0.04,9,14,424
20|20|0.04,9,15,386
20|20|0.04,9,16,386
20|20|0.04,9,17,386
20|20|0.04,9,18,386
20|20|0.04,9,19,386
20|20|0.05,0,0,541
20|20|0.05,0,1,514
20|20|0.05,0,2,510
20|20|0.05,0,3,510
20|20|0.05,0,4,501
20|20|0.05,0,5,463
20|20|0.05,0,6,463
20|20|0.05,0,7,435
20|20|0.05,0,8,435
20|20|0.05,0,9,435
20|20|0.05,0,10,430
20|20|0.05,0,11,430
20|20|0.05,0,12,430
20|20|0.05,0,13,414
20|20|0.05,0,14,414
20|20|0.05,0,15,414
20|20|0.05,0,16,414
20|20|0.05,0,17,414
20|20|0.05,0,18,414
20|20|0.05,0,19,414
20|20|0.05,1,0,535
20|20|0.05,1,1,488
20|20|0.05,1,2,470
20|20|0.05,1,3,470
20|20|0.05,1,4,470
20|20|0.05,1,5,470
20|20|0.05,1,6,470
20|20|0.05,1,7,449
20|20|0.05,1,8,449
20|20|0.05,1,9,449
20|20|0.05,1,10,445
20|20|0.05,1,11,445
20|20|0.05,1,12,428
20|20|0.05,1,13,388
20|20|0.05,1,14,388
20|20|0.05,1,15,388
20|20|0.05,1,16,388
20|20|0.05,1,17,388
20|20|0.05,1,18,384
20|20|0.05,1,19,384
20|20|0.05,2,0,492
20|20|0.05,2,1,492
20|20|0.05,2,2,492
20|20|0.05,2,3,492
20|20|0.05,2,4,401
20|20|0.05,2,5,401
20|20|0.05,2,6,401
20|20|0.05,2,7,401
20|20|0.05,2,8,401
20|20|0.05,2,9,401
20|20|0.05,2,10,401
20|20|0.05,2,11,401
20|20|0.05,2,12,401
20|20|0.05,2,13,382
20|20|0.05,2,14,369
20|20|0.05,2,15,369
20|20|0.05,2,16,369
20|20|0.05,2,17,369
20|20|0.05,2,18,369
20|20|0.05,2,19,369
20|20|0.05,3,0,548
20|20|0.05,3,1,483
20|20|0.05,3,2,438
20|20|0.05,3,3,438
20|20|0.05,3,4,438
20|20|0.05,3,5,438
20|20|0.05,3,6,438
20|20|0.05,3,7,438
20|20|0.05,3,8,434
20|20|0.05,3,9,434
20|20|0.05,3,10,434
20|20|0.05,3,11,422
20|20|0.05,3,12,422
20|20|0.05,3,13,394
20|20|0.05,3,14,394
20|20|0.05,3,15,394
20|20|0.05,3,16,394
20|20|0.05,3,17,394
20|20|0.05,3,18,394
20|20|0.05,3,19,394
20|20|0.05,4,0,576
20|20|0.05,4,1,529
20|20|0.05,4,2,521
20|20|0.05,4,3,521
20|20|0.05,4,4,499
20|20|0.05,4,5,499
20|20|0.05,4,6,490
20|20|0.05,4,7,490
20|20|0.05,4,8,470
20|20|0.05,4,9,461
20|20|0.05,4,10,461
20|20|0.05,4,11,425
20|20|0.05,4,12,425
20|20|0.05,4,13,425
20|20|0.05,4,14,425
20|20|0.05,4,15,425
20|20|0.05,4,16,425
20|20|0.05,4,17,425
20|20|0.05,4,18,425
20|20|0.05,4,19,425
20|20|0.05,5,0,564
20|20|0.05,5,1,549
20|20|0.05,5,2,549
20|20|0.05,5,3,546
20|20|0.05,5,4,526
20|20|0.05,5,5,473
20|20|0.05,5,6,473
20|20|0.05,5,7,473
20|20|0.05,5,8,449
20|20|0.05,5,9,449
20|20|0.05,5,10,449
20|20|0.05,5,11,449
20|20|0.05,5,12,449
20|20|0.05,5,13,437
20|20|0.05,5,14,437
20|20|0.05,5,15,437
20|20|0.05,5,16,437
20|20|0.05,5,17,413
20|20|0.05,5,18,413
20|20|0.05,5,19,413
20|20|0.05,6,0,571
20|20|0.05,6,1,520
20|20|0.05,6,2,470
20|20|0.05,6,3,470
20|20|0.05,6,4,470
20|20|0.05,6,5,457
20|20|0.05,6,6,457
20|20|0.05,6,7,457
20|20|0.05,6,8,457
20|20|0.05,6,9,421
20|20|0.05,6,10,410
20|20|0.05,6,11,403
20|20|0.05,6,12,403
20|20|0.05,6,13,403
20|20|0.05,6,14,403
20|20|0.05,6,15,403
20|20|0.05,6,16,403
20|20|0.05,6,17,403
20|20|0.05,6,18,403
20|20|0.05,6,19,403
20|20|0.05,7,0,567
20|20|0.05,7,1,529
20|20|0.05,7,2,507
20|20|0.05,7,3,507
20|20|0.05,7,4,500
20|20|0.05,7,5,458
20|20|0.05,7,6,433
20|20|0.05,7,7,433
20|20|0.05,7,8,433
20|20|0.05,7,9,433
20|20|0.05,7,10,433
20|20|0.05,7,11,418
20|20|0.05,7,12,418
20|20|0.05,7,13,393
20|20|0.05,7,14,393
20|20|0.05,7,15,390
20|20|0.05,7,16,365
20|20|0.05,7,17,365
20|20|0.05,7,18,365
20|20|0.05,7,19,365
20|20|0.05,8,0,545
20|20|0.05,8,1,508
20|20|0.05,8,2,495
20|20|0.05,8,3,447
20|20|0.05,8,4,447
20|20|0.05,8,5,403
20|20|0.05,8,6,403
20|20|0.05,8,7,403
20|20|0.05,8,8,397
20|20|0.05,8,9,397
20|20|0.05,8,10,384
20|20|0.05,8,11,384
20|20|0.05,8,12,384
20|20|0.05,8,13,369
20|20|0.05,8,14,369
20|20|0.05,8,15,369
20|20|0.05,8,16,369
20|20|0.05,8,17,369
20|20|0.05,8,18,369
20|20|0.05,8,19,369
20|20|0.05,9,0,541
20|20|0.05,9,1,541
20|20|0.05,9,2,533
20|20|0.05,9,3,528
20|20|0.05,9,4,528
20|20|0.05,9,5,505
20|20|0.05,9,6,505
20|20|0.05,9,7,495
20|20|0.05,9,8,495
20|20|0.05,9,9,495
20|20|0.05,9,10,495
20|20|0.05,9,11,495
20|20|0.05,9,12,495
